ID,x,y,patch
0.0,0.0,0.0,0.0
0.0,271.85929279899256,-182.44582230022243,1.0
0.0,73.29956246048721,-142.7643220163852,1.0
0.0,113.93186737588599,-322.33992612834606,1.0
0.0,307.46173898582504,-292.1890051600937,1.0
0.0,193.63025175296562,125.43230162264544,1.0
0.0,197.41056597336814,-567.8239520166205,1.0
0.0,419.7781260120594,-427.4708072244152,1.0
0.0,372.9545821476456,-146.05220517774697,1.0
0.0,170.88220207879914,270.71536266226065,1.0
0.0,207.5700362304963,-247.9660470231854,1.0
0.0,-2.5178161196315045,-392.6787990971774,1.0
0.0,314.7025989451323,-318.9815325929605,1.0
0.0,209.44534686624277,-128.59386023705463,1.0
