ID,x,y,patch
0.0,0.0,0.0,0.0
0.0,-314.33904878465916,-147.17660297996144,1.0
0.0,-241.94653765129414,-442.2439451720631,1.0
0.0,-655.565917944215,-505.23813331769657,1.0
0.0,-217.05433130683323,-182.8053681980676,1.0
0.0,-537.625277669968,-208.50204013809346,1.0
0.0,-370.30735133865426,-39.08564780458666,1.0
0.0,-341.57313481342504,-244.03296904078547,1.0
0.0,-372.55211644388794,-338.562983373897,1.0
0.0,-438.5815824431708,331.87096747680414,1.0
0.0,-351.63450798255,-416.6614925188079,1.0
0.0,108.91967884194821,-195.43779473426224,1.0
0.0,178.90355665628368,-218.12256952401026,1.0
0.0,-10.83158156959854,72.60333455983024,1.0
0.0,-333.84887720568463,-167.0412758432061,1.0
0.0,-401.0671542962925,-49.91764119519793,1.0
0.0,-128.9577800240087,119.01573065345207,1.0
0.0,-320.6201691419083,193.38272607391474,1.0
0.0,-686.5831826750544,-388.81806725946245,1.0
0.0,-386.7154827864674,3.072821665713292,1.0
