ID,x,y,patch
0.0,0.0,0.0,0.0
0.0,-355.4027599304033,-320.62050811433176,1.0
0.0,-341.83322949176863,-345.64021706702863,1.0
0.0,-367.4958972991827,-337.1528128945715,1.0
0.0,-334.59030071622703,-295.1780205888877,1.0
0.0,-364.66587171203923,-292.7215062673648,1.0
0.0,-332.49144639168975,-319.18182109571944,1.0
0.0,-390.03903338717623,-338.3849493151594,1.0
0.0,13.843449906975025,-15.980595134454886,2.0
0.0,-4.725737678713962,-28.423628831695495,2.0
0.0,39.295153747166054,-27.554073271838064,2.0
